0.29,-0.45385,-0.14308,-0.022535,-0.4462,-0.14241,-0.022334,-0.44861,-0.14022,-0.02198
0.3,-0.45225,-0.1476,-0.024011,-0.45287,-0.14694,-0.023804,-0.42579,-0.14448,-0.023425
0.31,-0.45066,-0.15211,-0.025532,-0.40804,-0.15102,-0.025314,-0.47368,-0.14921,-0.024917
0.32,-0.44907,-0.1566,-0.027098,-0.49201,-0.15594,-0.026873,-0.42938,-0.15351,-0.026452
0.33,-0.44748,-0.16107,-0.028708,-0.4247,-0.16019,-0.028475,-0.41939,-0.1577,-0.028029
0.34,-0.44589,-0.16553,-0.030364,-0.4132,-0.16432,-0.030119,-0.40976,-0.1618,-0.029647
0.35,-0.4443,-0.16997,-0.032063,-0.44118,-0.16873,-0.031806,-0.42279,-0.16603,-0.031307
0.36,-0.4427,-0.1744,-0.033807,-0.44192,-0.17315,-0.033537,-0.42982,-0.17032,-0.03301
0.37,-0.44111,-0.17881,-0.035595,-0.39591,-0.17711,-0.035309,-0.44004,-0.17472,-0.034757
0.38,-0.43952,-0.18321,-0.037428,-0.41304,-0.18124,-0.037121,-0.40825,-0.17881,-0.036546
0.39,-0.43793,-0.18759,-0.039303,-0.42853,-0.18553,-0.038976,-0.40371,-0.18284,-0.038374
0.4,-0.43634,-0.19195,-0.041223,-0.4169,-0.1897,-0.040873,-0.4244,-0.18709,-0.040245
0.41,-0.43475,-0.1963,-0.043186,-0.44127,-0.19411,-0.042814,-0.48914,-0.19198,-0.042165
0.42,-0.43315,-0.20063,-0.045192,-0.49235,-0.19903,-0.044805,-0.45524,-0.19653,-0.04413
0.43,-0.43156,-0.20494,-0.047242,-0.46532,-0.20369,-0.046842,-0.43032,-0.20084,-0.046138
0.44,-0.42997,-0.20924,-0.049334,-0.39377,-0.20763,-0.048918,-0.46211,-0.20546,-0.048193
0.45,-0.42838,-0.21353,-0.051469,-0.41542,-0.21178,-0.051036,-0.48204,-0.21028,-0.050296
0.46,-0.42679,-0.2178,-0.053647,-0.34511,-0.21523,-0.053188,-0.41139,-0.21439,-0.05244
0.47,-0.4252,-0.22205,-0.055868,-0.46019,-0.21983,-0.055386,-0.44082,-0.2188,-0.054628
0.48,-0.42361,-0.22628,-0.058131,-0.41648,-0.224,-0.057626,-0.42306,-0.22303,-0.056858
0.49,-0.42201,-0.2305,-0.060436,-0.41071,-0.2281,-0.059907,-0.46526,-0.22768,-0.059135
0.5,-0.42042,-0.23471,-0.062783,-0.39573,-0.23206,-0.062228,-0.42821,-0.23196,-0.061454
0.51,-0.41883,-0.2389,-0.065172,-0.41338,-0.2362,-0.06459,-0.45655,-0.23653,-0.06382
0.52,-0.41724,-0.24307,-0.067602,-0.40266,-0.24022,-0.066992,-0.36482,-0.24018,-0.066221
0.53,-0.41565,-0.24722,-0.070075,-0.39252,-0.24415,-0.069434,-0.41289,-0.24431,-0.068664
0.54,-0.41406,-0.25137,-0.072588,-0.43134,-0.24846,-0.071918,-0.45629,-0.24887,-0.071153
0.55,-0.41246,-0.25549,-0.075143,-0.38209,-0.25228,-0.074441,-0.47956,-0.25367,-0.07369
0.56,-0.41087,-0.2596,-0.077739,-0.44382,-0.25672,-0.077008,-0.37538,-0.25742,-0.076264
0.57,-0.40928,-0.26369,-0.080376,-0.42931,-0.26101,-0.079618,-0.36055,-0.26102,-0.078874
0.58,-0.40769,-0.26777,-0.083054,-0.38051,-0.26482,-0.082266,-0.39717,-0.265,-0.081524
0.59,-0.4061,-0.27183,-0.085772,-0.4211,-0.26903,-0.084957,-0.40463,-0.26904,-0.084215
0.6,-0.40451,-0.27587,-0.088531,-0.37042,-0.27273,-0.087684,-0.36608,-0.2727,-0.086942
0.61,-0.40292,-0.2799,-0.09133,-0.41188,-0.27685,-0.090453,-0.42999,-0.277,-0.089712
0.62,-0.40132,-0.28392,-0.094169,-0.45514,-0.2814,-0.093267,-0.39419,-0.28095,-0.092521
0.63,-0.39973,-0.28791,-0.097048,-0.41531,-0.28556,-0.096122,-0.45172,-0.28546,-0.095376
0.64,-0.39814,-0.2919,-0.099967,-0.4121,-0.28968,-0.099019,-0.39354,-0.2894,-0.09827
0.65,-0.39655,-0.29586,-0.10293,-0.39638,-0.29364,-0.10196,-0.43958,-0.29379,-0.10121
0.66,-0.39496,-0.29981,-0.10592,-0.41229,-0.29776,-0.10493,-0.38443,-0.29764,-0.10418
0.67,-0.39337,-0.30374,-0.10896,-0.42744,-0.30204,-0.10795,-0.3731,-0.30137,-0.1072
0.68,-0.39177,-0.30766,-0.11204,-0.3682,-0.30572,-0.11101,-0.41608,-0.30553,-0.11025
0.69,-0.39018,-0.31156,-0.11515,-0.37271,-0.30945,-0.11411,-0.44771,-0.31001,-0.11335
0.7,-0.38859,-0.31545,-0.11831,-0.40086,-0.31346,-0.11724,-0.38899,-0.3139,-0.11649
0.71,-0.387,-0.31932,-0.1215,-0.37343,-0.31719,-0.12041,-0.39431,-0.31784,-0.11967
0.72,-0.38541,-0.32317,-0.12473,-0.37854,-0.32098,-0.12362,-0.3889,-0.32173,-0.12289
0.73,-0.38382,-0.32701,-0.128,-0.39737,-0.32495,-0.12687,-0.40239,-0.32575,-0.12615
0.74,-0.38223,-0.33083,-0.13131,-0.3661,-0.32861,-0.13016,-0.37707,-0.32952,-0.12944
0.75,-0.38063,-0.33464,-0.13466,-0.42751,-0.33289,-0.13349,-0.40836,-0.33361,-0.13278
0.76,-0.37904,-0.33843,-0.13804,-0.40461,-0.33693,-0.13686,-0.37959,-0.3374,-0.13615
0.77,-0.37745,-0.34221,-0.14146,-0.40506,-0.34098,-0.14026,-0.33478,-0.34075,-0.13956
0.78,-0.37586,-0.34596,-0.14492,-0.34928,-0.34447,-0.14371,-0.4137,-0.34489,-0.14301
0.79,-0.37427,-0.34971,-0.14842,-0.36082,-0.34808,-0.14719,-0.39216,-0.34881,-0.1465
0.8,-0.37268,-0.35343,-0.15196,-0.3791,-0.35187,-0.15071,-0.35362,-0.35235,-0.15002
